,Time,Adres,Miasto,dlug,szer,Miejsce.zdarzenie,Rodzaj.zdarzenia,ucz1,ucz1_plec,ucz1_pod_wplywem,Ucz1DOB,ucz2,ucz2_plec,ucz2_pod_wplywem,Ucz2DOB,dzielnica,rok,miesiac,dzien,godzina,dzien_tyg,dzien_tyg_name
424,2019-12-12 07:18:00,KRAKÓW RONDO MŁYŃSKIE  / MEISSNERA,Kraków,19.973694100000003,50.08052070000001,2,1,1,1,1,26,2,1,1,59,Prądnik Czerwony,2019,12,12,7,3,Thursday
425,2019-12-13 08:00:00,KRAKÓW MOGILSKA  / GRUNWALDZKA,Kraków,19.9813062,50.06976220000001,2,1,1,2,1,29,2,2,1,40,Prądnik Czerwony,2019,12,13,8,4,Friday
426,2019-12-13 09:40:00,KRAKÓW ŁOKIETKA  / SKRAJNA,Kraków,19.9235123,50.085377,1,6,1,1,1,38,0,0,0,0,Prądnik Biały,2019,12,13,9,4,Friday
427,2019-12-16 09:30:00,KRAKÓW DŁUGA  / KRZYWA,Kraków,19.9362,50.072,12,6,1,1,1,46,0,0,0,0,Stare Miasto,2019,12,16,9,0,Monday
428,2019-12-17 18:05:00,KRAKÓW PILOTÓW  10,Kraków,19.9725469,50.08056989999999,4,1,1,1,1,27,2,2,1,59,Prądnik Czerwony,2019,12,17,18,1,Tuesday
429,2019-12-16 18:35:00,KRAKÓW SŁAWKOWSKA  / PIJARSKA,Kraków,19.9390228,50.06587860000001,1,1,1,1,1,36,2,2,1,32,Stare Miasto,2019,12,16,18,0,Monday
430,2019-12-16 18:07:00,KRAKÓW GROTA ROWECKIEGO  5,Kraków,19.9215718,50.0311539,3,1,1,2,1,46,2,2,1,52,Dębniki,2019,12,16,18,0,Monday
431,2019-12-18 11:30:00,KRAKÓW BASZTOWA  / WESTERPLATTE,Kraków,19.9388638,50.0662615,1,1,1,2,1,19,2,2,1,56,Stare Miasto,2019,12,18,11,2,Wednesday
432,2019-12-18 16:55:00,KRAKÓW PODGÓRSKA  28,Kraków,19.930449300000006,50.05025429999999,3,6,1,1,1,65,0,0,0,0,Dębniki,2019,12,18,16,2,Wednesday
433,2019-12-19 14:05:00,KRAKÓW WYBICKIEGO  10,Kraków,19.923197684078986,50.07054555000001,3,2,1,1,1,63,0,0,0,0,Krowodrza,2019,12,19,14,3,Thursday
434,2019-12-19 17:44:00,KRAKÓW LEMA  / DĄBSKA,Kraków,19.991549009431782,50.06772015,2,1,1,2,1,40,2,2,1,27,Czyżyny,2019,12,19,17,3,Thursday
435,2019-12-19 08:09:00,KRAKÓW ZABŁOCIE  43A,Kraków,19.9574154,50.0481266,1,1,1,2,1,0,2,0,1,0,Podgórze,2019,12,19,8,3,Thursday
